wyscout,skillcorner,date,home,away
5414220,1381409,2023-09-10,Montenegro,Bulgaria
5414222,1381406,2023-09-10,Republic of Ireland,Netherlands
5414226,1385659,2023-09-10,San Marino,Slovenia
5414213,,2023-09-09,Andorra,Belarus
5414211,,2023-09-09,Azerbaijan,Belgium
5414215,,2023-09-09,Estonia,Sweden
5531639,,2023-09-09,Germany,Japan
5414217,,2023-09-09,Kosovo,Switzerland
5414214,,2023-09-09,North Macedonia,Italy
5414216,,2023-09-09,Romania,Israel
5414212,,2023-09-09,Ukraine,England
5414209,,2023-09-08,Bosnia-Herzegovina,Liechtenstein
5414206,,2023-09-08,Croatia,Latvia
5414205,,2023-09-08,Cyprus,Scotland
5414204,,2023-09-08,Georgia,Spain
5414210,,2023-09-08,Luxembourg,Iceland
5414208,,2023-09-08,Slovakia,Portugal
5414207,,2023-09-08,Turkey,Armenia
5414199,,2023-09-07,Czech Republic,Albania
5414202,,2023-09-07,Denmark,San Marino
5414196,,2023-09-07,France,Republic of Ireland
5414195,,2023-09-07,Kazakhstan,Finland
5414201,,2023-09-07,Lithuania,Montenegro
5414197,,2023-09-07,Netherlands,Greece
5414198,,2023-09-07,Poland,Faroe Islands
5414200,,2023-09-07,Serbia,Hungary
5414203,,2023-09-07,Slovenia,Northern Ireland
5414188,,2023-06-20,Austria,Sweden
5414193,,2023-06-20,Bosnia-Herzegovina,Luxembourg
5414191,,2023-06-20,Bulgaria,Serbia
5414189,,2023-06-20,Estonia,Belgium
5414187,,2023-06-20,Faroe Islands,Albania
5463853,,2023-06-20,Germany,Colombia
5414190,,2023-06-20,Hungary,Lithuania
5414192,,2023-06-20,Iceland,Portugal
5414194,,2023-06-20,Liechtenstein,Slovakia
5414186,1266811,2023-06-20,Moldova,Poland
5414185,,2023-06-20,Norway,Cyprus
5414184,,2023-06-20,Scotland,Georgia
5414172,,2023-06-19,Armenia,Latvia
5414183,,2023-06-19,Belarus,Kosovo
5414173,,2023-06-19,England,North Macedonia
5414179,,2023-06-19,Finland,San Marino
5414176,952207,2023-06-19,France,Greece
5414182,,2023-06-19,Israel,Andorra
5414178,,2023-06-19,Northern Ireland,Kazakhstan
5414175,,2023-06-19,Republic of Ireland,Gibraltar
5414180,,2023-06-19,Slovenia,Denmark
5414181,,2023-06-19,Switzerland,Romania
5414177,,2023-06-19,Turkey,Wales
5414174,,2023-06-19,Ukraine,Malta
5414167,,2023-06-17,Albania,Moldova
5414164,,2023-06-17,Azerbaijan,Estonia
5414169,,2023-06-17,Belgium,Austria
5414166,,2023-06-17,Cyprus,Georgia
5414168,,2023-06-17,Faroe Islands,Czech Republic
5414170,,2023-06-17,Iceland,Slovakia
5414161,,2023-06-17,Lithuania,Bulgaria
5414162,,2023-06-17,Luxembourg,Liechtenstein
5414165,,2023-06-17,Montenegro,Hungary
5414163,,2023-06-17,Norway,Scotland
5414171,911559,2023-06-17,Portugal,Bosnia-Herzegovina
5414158,,2023-06-16,Andorra,Switzerland
5414159,,2023-06-16,Belarus,Israel
5414155,,2023-06-16,Denmark,Northern Ireland
5414156,,2023-06-16,Finland,Slovenia
5414152,,2023-06-16,Gibraltar,France
5414151,,2023-06-16,Greece,Republic of Ireland
5414160,,2023-06-16,Kosovo,Romania
5414154,,2023-06-16,Latvia,Turkey
5414149,,2023-06-16,Malta,England
5414150,,2023-06-16,North Macedonia,Ukraine
5463840,,2023-06-16,Poland,Germany
5414157,,2023-06-16,San Marino,Kazakhstan
5414153,,2023-06-16,Wales,Armenia
5459001,,2023-06-12,Germany,Ukraine
5414142,,2023-03-28,Georgia,Norway
5452656,,2023-03-28,Germany,Belgium
5414148,,2023-03-28,Kosovo,Andorra
5414147,,2023-03-28,Romania,Belarus
5414143,,2023-03-28,Scotland,Spain
5414146,,2023-03-28,Switzerland,Israel
5414144,,2023-03-28,Turkey,Croatia
5414145,,2023-03-28,Wales,Latvia
5414139,,2023-03-27,Austria,Estonia
5414140,,2023-03-27,Hungary,Bulgaria
5414137,,2023-03-27,Moldova,Czech Republic
5414141,,2023-03-27,Montenegro,Serbia
5414134,,2023-03-27,Netherlands,Gibraltar
5414136,731071,2023-03-27,Poland,Albania
5414135,952208,2023-03-27,Republic of Ireland,France
5414138,,2023-03-27,Sweden,Azerbaijan
5414127,726848,2023-03-26,England,Ukraine
5414126,,2023-03-26,Kazakhstan,Denmark
5414129,,2023-03-26,Liechtenstein,Iceland
5414133,,2023-03-26,Luxembourg,Portugal
5414130,,2023-03-26,Malta,Italy
5414131,,2023-03-26,Northern Ireland,Finland
5414132,,2023-03-26,Slovakia,Bosnia-Herzegovina
5414128,,2023-03-26,Slovenia,San Marino
5414125,,2023-03-25,Andorra,Romania
5414120,,2023-03-25,Armenia,Turkey
5414121,,2023-03-25,Belarus,Switzerland
5414123,,2023-03-25,Croatia,Wales
5444933,,2023-03-25,Germany,Peru
5414124,,2023-03-25,Israel,Kosovo
5414119,,2023-03-25,Scotland,Cyprus
5414122,,2023-03-25,Spain,Norway
5414116,,2023-03-24,Austria,Azerbaijan
5414117,,2023-03-24,Bulgaria,Montenegro
5414113,726849,2023-03-24,Czech Republic,Poland
5414111,952209,2023-03-24,France,Netherlands
5414112,,2023-03-24,Gibraltar,Greece
5414114,,2023-03-24,Moldova,Faroe Islands
5414118,,2023-03-24,Serbia,Lithuania
5414115,722109,2023-03-24,Sweden,Belgium
5414110,,2023-03-23,Bosnia-Herzegovina,Iceland
5414106,,2023-03-23,Denmark,Finland
5414104,,2023-03-23,Italy,England
5414103,,2023-03-23,Kazakhstan,Slovenia
5414105,,2023-03-23,North Macedonia,Malta
5414108,,2023-03-23,Portugal,Liechtenstein
5414107,,2023-03-23,San Marino,Northern Ireland
5414109,,2023-03-23,Slovakia,Luxembourg
